stock_code,description,total_revenue,unique_buyers
22423,"REGENCY CAKESTAND 3 TIER",277656.25,1314
85123A,"WHITE HANGING HEART T-LIGHT HOLDER",247048.01,1490
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,1
85099B,"JUMBO BAG RED RETROSPOT",134307.44,860
84879,"ASSORTED COLOUR BIRD ORNAMENT",124351.86,1010
47566,"PARTY BUNTING",103283.38,894
23166,"MEDIUM CERAMIC TOP STORAGE JAR",81416.73,138
22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",76598.18,896
79321,"CHILLI LIGHTS",69084.3,304
85099F,"JUMBO BAG STRAWBERRY",64127.77,549
21137,"BLACK RECORD COVER FRAME",63092.12,198
84347,"ROTATING SILVER ANGELS T-LIGHT HLDR",55880.17,300
82484,"WOOD BLACK BOARD ANT WHITE FINISH",54525.36,451
21621,"VINTAGE UNION JACK BUNTING",54432.62,583
15056N,"EDWARDIAN PARASOL NATURAL",54332.61,347
85099C,"JUMBO  BAG BAROQUE BLACK WHITE",52188.18,506
23084,"RABBIT NIGHT LIGHT",51251.24,450
22470,"HEART OF WICKER LARGE",49859.5,827
21733,"RED HANGING HEART T-LIGHT HOLDER",48850.6,744
21931,"JUMBO STORAGE BAG SUKI",47760.99,546
